id_client,nom,pays,ville,date_inscription,canal_acquisition
1,Client_1,Belgique,Bruxelles,2023-07-18,Organic
2,Client_2,RD Congo,Lubumbashi,2022-07-29,Ads
3,Client_3,Sénégal,Dakar,2022-03-03,Ads
4,Client_4,RD Congo,Lubumbashi,2024-10-31,Ads
5,Client_5,RD Congo,Bukavu,2023-03-28,Referral
6,Client_6,Cameroun,Douala,2022-11-23,Referral
7,Client_7,Côte d’Ivoire,Bouaké,2022-11-15,Organic
8,Client_8,Côte d’Ivoire,Abidjan,2022-07-09,Referral
9,Client_9,Belgique,Namur,2023-12-06,Marketplace
10,Client_10,France,Toulouse,2025-01-03,Ads
11,Client_11,Sénégal,Dakar,2023-08-24,Marketplace
12,Client_12,RD Congo,Kinshasa,2022-04-04,Organic
13,Client_13,Cameroun,Douala,2023-04-22,Ads
14,Client_14,Sénégal,Thiès,2024-07-17,Marketplace
15,Client_15,Canada,Laval,2023-12-29,Organic
16,Client_16,Cameroun,Bafoussam,2022-05-27,Organic
17,Client_17,RD Congo,Lubumbashi,2024-08-04,Referral
18,Client_18,Cameroun,Bafoussam,2023-03-26,Marketplace
19,Client_19,France,Lyon,2022-03-07,Marketplace
20,Client_20,Sénégal,Thiès,2022-05-16,Organic
21,Client_21,Côte d’Ivoire,Abidjan,2024-10-19,Referral
22,Client_22,Gabon,Libreville,2023-06-27,Organic
23,Client_23,RD Congo,Goma,2024-05-27,Referral
24,Client_24,Côte d’Ivoire,Abidjan,2022-10-11,Referral
25,Client_25,Belgique,Bruxelles,2022-08-13,Organic
26,Client_26,Canada,Gatineau,2022-05-11,Referral
27,Client_27,Sénégal,Saint-Louis,2024-08-16,Marketplace
28,Client_28,France,Paris,2025-01-04,Marketplace
29,Client_29,Côte d’Ivoire,Abidjan,2023-08-25,Referral
30,Client_30,Canada,Gatineau,2022-01-07,Marketplace
31,Client_31,Canada,Montréal,2023-09-04,Organic
32,Client_32,Canada,Laval,2022-11-27,Ads
33,Client_33,Côte d’Ivoire,Bouaké,2022-02-09,Ads
34,Client_34,Côte d’Ivoire,Bouaké,2023-05-06,Ads
35,Client_35,RD Congo,Kinshasa,2022-06-25,Referral
36,Client_36,Belgique,Liège,2022-09-20,Referral
37,Client_37,Canada,Laval,2024-12-16,Referral
38,Client_38,RD Congo,Lubumbashi,2023-10-01,Referral
39,Client_39,Côte d’Ivoire,Bouaké,2024-11-25,Referral
40,Client_40,Belgique,Liège,2023-04-06,Ads
41,Client_41,Côte d’Ivoire,Abidjan,2023-04-17,Organic
42,Client_42,France,Paris,2022-05-01,Organic
43,Client_43,Belgique,Bruxelles,2023-11-08,Ads
44,Client_44,RD Congo,Goma,2024-09-21,Organic
45,Client_45,Canada,Gatineau,2023-05-13,Referral
46,Client_46,Sénégal,Dakar,2022-07-13,Ads
47,Client_47,Sénégal,Thiès,2024-05-17,Referral
48,Client_48,Gabon,Libreville,2022-07-21,Ads
49,Client_49,Sénégal,Saint-Louis,2023-11-26,Ads
50,Client_50,RD Congo,Lubumbashi,2023-01-25,Referral
51,Client_51,Canada,Gatineau,2023-01-11,Marketplace
52,Client_52,Gabon,Libreville,2022-06-04,Referral
53,Client_53,Belgique,Bruxelles,2022-01-31,Ads
54,Client_54,RD Congo,Lubumbashi,2024-04-12,Referral
55,Client_55,Gabon,Libreville,2024-04-01,Ads
56,Client_56,Canada,Gatineau,2022-01-05,Referral
57,Client_57,Cameroun,Yaoundé,2023-08-08,Referral
58,Client_58,Gabon,Libreville,2023-01-24,Marketplace
59,Client_59,RD Congo,Kinshasa,2022-05-05,Marketplace
60,Client_60,France,Paris,2024-09-03,Organic
61,Client_61,France,Lille,2022-06-14,Organic
62,Client_62,Belgique,Bruxelles,2023-04-27,Referral
63,Client_63,Belgique,Liège,2022-03-23,Ads
64,Client_64,Sénégal,Saint-Louis,2024-12-06,Marketplace
65,Client_65,Cameroun,Douala,2023-10-06,Organic
66,Client_66,Cameroun,Yaoundé,2022-09-26,Marketplace
67,Client_67,Gabon,Port-Gentil,2022-05-29,Ads
68,Client_68,Gabon,Libreville,2022-05-31,Organic
69,Client_69,Cameroun,Douala,2023-12-16,Ads
70,Client_70,RD Congo,Goma,2023-08-07,Organic
71,Client_71,Gabon,Port-Gentil,2024-12-19,Ads
72,Client_72,Cameroun,Bafoussam,2022-08-01,Organic
73,Client_73,Cameroun,Douala,2022-08-08,Organic
74,Client_74,Cameroun,Yaoundé,2023-03-08,Marketplace
75,Client_75,RD Congo,Goma,2024-11-01,Referral
76,Client_76,Cameroun,Douala,2022-07-09,Referral
77,Client_77,Cameroun,Douala,2022-01-08,Marketplace
78,Client_78,Canada,Laval,2022-11-27,Referral
79,Client_79,Sénégal,Saint-Louis,2022-01-20,Ads
80,Client_80,Belgique,Liège,2022-03-15,Marketplace
81,Client_81,Canada,Gatineau,2022-09-19,Ads
82,Client_82,Cameroun,Yaoundé,2022-03-23,Marketplace
83,Client_83,RD Congo,Lubumbashi,2022-07-30,Marketplace
84,Client_84,Sénégal,Saint-Louis,2022-11-13,Organic
85,Client_85,Canada,Québec,2024-04-24,Ads
86,Client_86,Canada,Laval,2024-04-23,Organic
87,Client_87,Cameroun,Douala,2022-08-10,Referral
88,Client_88,France,Toulouse,2023-04-01,Organic
89,Client_89,Gabon,Port-Gentil,2023-09-18,Organic
90,Client_90,RD Congo,Kinshasa,2023-01-31,Referral
91,Client_91,Côte d’Ivoire,Bouaké,2022-05-23,Marketplace
92,Client_92,Côte d’Ivoire,Yamoussoukro,2024-11-09,Referral
93,Client_93,Côte d’Ivoire,Abidjan,2022-08-25,Marketplace
94,Client_94,Canada,Laval,2022-03-20,Ads
95,Client_95,Sénégal,Thiès,2023-10-05,Referral
96,Client_96,Belgique,Charleroi,2023-01-25,Marketplace
97,Client_97,France,Toulouse,2022-01-04,Organic
98,Client_98,Côte d’Ivoire,Bouaké,2022-05-24,Marketplace
99,Client_99,Côte d’Ivoire,Yamoussoukro,2022-09-13,Marketplace
100,Client_100,Cameroun,Bafoussam,2024-04-16,Marketplace
101,Client_101,Sénégal,Saint-Louis,2023-08-29,Organic
102,Client_102,RD Congo,Bukavu,2024-02-16,Organic
103,Client_103,Cameroun,Yaoundé,2022-01-01,Marketplace
104,Client_104,Cameroun,Douala,2024-05-30,Marketplace
105,Client_105,Gabon,Port-Gentil,2024-06-24,Organic
106,Client_106,Gabon,Libreville,2022-06-23,Marketplace
107,Client_107,Côte d’Ivoire,Abidjan,2023-04-27,Marketplace
108,Client_108,RD Congo,Lubumbashi,2022-10-29,Ads
109,Client_109,France,Lyon,2024-08-31,Ads
110,Client_110,Gabon,Port-Gentil,2023-02-03,Referral
111,Client_111,Gabon,Port-Gentil,2023-05-15,Organic
112,Client_112,France,Paris,2024-05-20,Organic
113,Client_113,Canada,Gatineau,2022-04-13,Organic
114,Client_114,Belgique,Charleroi,2022-10-01,Referral
115,Client_115,Côte d’Ivoire,Bouaké,2024-10-30,Referral
