id_paiement,id_vente,méthode,statut
1,1,Carte,Success
2,2,Mobile Money,Success
3,3,PayPal,Success
4,4,Mobile Money,Failed
5,5,PayPal,Success
6,6,PayPal,Success
7,7,PayPal,Failed
8,8,Mobile Money,Success
9,9,PayPal,Success
10,10,PayPal,Success
11,11,Carte,Success
12,12,Mobile Money,Success
13,13,Carte,Success
14,14,Carte,Failed
15,15,PayPal,Success
16,16,PayPal,Failed
17,17,Mobile Money,Pending
18,18,PayPal,Success
19,19,Carte,Success
20,20,Carte,Success
21,21,Mobile Money,Success
22,22,PayPal,Success
23,23,Mobile Money,Success
24,24,PayPal,Success
25,25,Carte,Success
26,26,Mobile Money,Success
27,27,PayPal,Failed
28,28,PayPal,Success
29,29,Mobile Money,Success
30,30,Mobile Money,Success
31,31,Carte,Success
32,32,Mobile Money,Success
33,33,Carte,Success
34,34,Mobile Money,Success
35,35,Mobile Money,Failed
36,36,PayPal,Success
37,37,Mobile Money,Success
38,38,Mobile Money,Success
39,39,Mobile Money,Failed
40,40,Mobile Money,Success
41,41,Carte,Success
42,42,Mobile Money,Success
43,43,Carte,Failed
44,44,Mobile Money,Success
45,45,Carte,Failed
46,46,Carte,Failed
47,47,Carte,Success
48,48,Carte,Success
49,49,Mobile Money,Success
50,50,Carte,Success
51,51,Mobile Money,Success
52,52,Mobile Money,Success
53,53,PayPal,Success
54,54,PayPal,Failed
55,55,PayPal,Success
56,56,Carte,Success
57,57,Carte,Success
58,58,Mobile Money,Failed
59,59,PayPal,Success
60,60,PayPal,Success
61,61,PayPal,Success
62,62,Mobile Money,Success
63,63,PayPal,Success
64,64,Mobile Money,Success
65,65,Carte,Success
66,66,PayPal,Success
67,67,PayPal,Success
68,68,Carte,Success
69,69,Carte,Success
70,70,Mobile Money,Success
71,71,Carte,Success
72,72,Carte,Success
73,73,Carte,Pending
74,74,Carte,Failed
75,75,PayPal,Success
76,76,Mobile Money,Success
77,77,Carte,Success
78,78,Carte,Failed
79,79,PayPal,Failed
80,80,Carte,Success
81,81,Mobile Money,Success
82,82,Mobile Money,Failed
83,83,Carte,Success
84,84,Mobile Money,Success
85,85,PayPal,Success
86,86,Carte,Success
87,87,PayPal,Success
88,88,PayPal,Success
89,89,Carte,Success
90,90,Carte,Success
91,91,Carte,Success
92,92,PayPal,Success
93,93,Mobile Money,Success
94,94,Carte,Success
95,95,Carte,Success
96,96,Carte,Success
97,97,PayPal,Success
98,98,Carte,Success
99,99,Mobile Money,Success
100,100,Mobile Money,Failed
101,101,PayPal,Success
102,102,Carte,Success
103,103,Mobile Money,Success
104,104,Mobile Money,Success
105,105,PayPal,Pending
106,106,Carte,Success
107,107,Carte,Success
108,108,PayPal,Success
109,109,Carte,Success
110,110,Mobile Money,Success
111,111,Carte,Success
112,112,Mobile Money,Success
113,113,Carte,Success
114,114,PayPal,Success
115,115,Mobile Money,Success
116,116,Carte,Success
117,117,PayPal,Success
118,118,Carte,Success
119,119,PayPal,Success
120,120,PayPal,Success
121,121,Carte,Success
122,122,PayPal,Success
123,123,PayPal,Success
124,124,Carte,Success
125,125,Carte,Pending
126,126,Carte,Success
127,127,Carte,Success
128,128,Carte,Success
129,129,Mobile Money,Failed
130,130,Mobile Money,Success
131,131,PayPal,Success
132,132,Carte,Success
133,133,Carte,Success
134,134,Mobile Money,Success
135,135,Carte,Success
136,136,Mobile Money,Success
137,137,Carte,Failed
138,138,Mobile Money,Success
139,139,Mobile Money,Failed
140,140,PayPal,Pending
141,141,PayPal,Success
142,142,Carte,Success
143,143,Carte,Success
144,144,Mobile Money,Success
145,145,Carte,Success
146,146,Carte,Success
147,147,Mobile Money,Success
148,148,Mobile Money,Success
149,149,Carte,Success
150,150,Mobile Money,Success
151,151,Mobile Money,Success
152,152,Mobile Money,Success
153,153,Mobile Money,Success
154,154,PayPal,Failed
155,155,Carte,Success
156,156,Carte,Success
157,157,Mobile Money,Success
158,158,Mobile Money,Success
159,159,Mobile Money,Failed
160,160,PayPal,Failed
161,161,Mobile Money,Failed
162,162,PayPal,Success
163,163,Carte,Success
164,164,Mobile Money,Success
165,165,Mobile Money,Failed
166,166,Carte,Success
167,167,PayPal,Success
168,168,Carte,Success
169,169,PayPal,Success
170,170,Carte,Success
171,171,PayPal,Success
172,172,Carte,Failed
173,173,PayPal,Success
174,174,Mobile Money,Success
175,175,Carte,Success
176,176,Mobile Money,Success
177,177,Carte,Success
178,178,Carte,Success
179,179,Mobile Money,Success
180,180,Mobile Money,Success
181,181,PayPal,Success
182,182,PayPal,Success
183,183,Mobile Money,Success
184,184,Carte,Success
185,185,Carte,Success
186,186,Mobile Money,Success
187,187,Carte,Success
188,188,Mobile Money,Success
189,189,PayPal,Success
190,190,Mobile Money,Success
191,191,Mobile Money,Success
192,192,PayPal,Success
193,193,Carte,Failed
194,194,Carte,Success
195,195,Mobile Money,Success
196,196,PayPal,Success
197,197,Carte,Success
198,198,PayPal,Pending
199,199,PayPal,Success
200,200,Carte,Success
201,201,Mobile Money,Success
202,202,Mobile Money,Success
203,203,Carte,Success
204,204,Carte,Success
205,205,Mobile Money,Success
206,206,Mobile Money,Success
207,207,Mobile Money,Success
208,208,Carte,Success
209,209,Carte,Success
210,210,Carte,Success
211,211,Carte,Success
212,212,PayPal,Success
213,213,PayPal,Success
