id_vente,id_client,id_produit,date_vente,quantité,montant_total,channel
1,4887,182,2025-04-17,2,164,Marketplace
2,1223,47,2025-05-07,1,753,Marketplace
3,276,53,2024-09-28,1,1030,Marketplace
4,574,173,2024-09-11,3,411,Marketplace
5,2661,84,2025-04-08,3,5628,Online
6,1863,171,2025-02-08,2,116,Marketplace
7,1579,62,2024-07-29,3,5166,Marketplace
8,1821,3,2024-06-25,1,965,Marketplace
9,69,112,2024-05-30,1,540,Online
10,776,147,2025-01-30,1,1556,Retail
11,4520,6,2024-12-25,1,1126,Marketplace
12,4498,162,2024-02-29,1,104,Retail
13,569,138,2024-11-17,2,1968,Online
14,2682,176,2024-06-26,3,123,Retail
15,2350,23,2024-12-06,1,1113,Marketplace
16,260,16,2024-02-01,1,802,Marketplace
17,1417,126,2024-04-22,3,3369,Online
18,3494,126,2024-07-28,2,2246,Online
19,699,12,2024-03-06,1,950,Retail
20,4280,22,2024-03-14,1,892,Marketplace
21,243,138,2024-02-15,1,984,Retail
22,1440,44,2024-04-12,3,1539,Online
23,3500,163,2024-02-05,3,225,Marketplace
24,1025,108,2024-01-16,1,919,Retail
25,4362,52,2025-01-01,2,1634,Marketplace
26,4078,53,2025-01-11,1,1030,Marketplace
27,2664,60,2024-04-24,2,2552,Retail
28,2557,149,2024-07-14,2,3122,Retail
29,2503,139,2024-12-01,1,1497,Online
30,3603,166,2024-08-02,1,123,Online
31,2457,75,2024-07-15,3,6972,Online
32,722,121,2024-06-19,1,1895,Online
33,2998,161,2024-09-12,1,57,Retail
34,1680,90,2025-05-08,3,4458,Retail
35,4029,2,2025-03-08,2,1816,Online
36,1925,53,2024-06-28,2,2060,Retail
37,681,110,2024-09-08,2,1258,Marketplace
38,1386,162,2024-03-24,3,312,Marketplace
39,1034,191,2025-02-26,1,125,Marketplace
40,1502,194,2024-07-20,3,267,Marketplace
41,4173,151,2024-07-19,1,71,Marketplace
42,3174,77,2025-04-23,3,3489,Marketplace
43,3279,162,2025-05-02,3,312,Online
44,2262,168,2024-02-09,1,43,Retail
45,3349,142,2025-03-12,2,1676,Retail
46,4184,123,2025-03-14,2,2742,Marketplace
47,2404,130,2024-08-30,3,5358,Marketplace
48,1308,78,2024-10-23,1,1411,Online
49,1702,72,2024-07-04,3,3285,Online
50,3382,166,2025-05-14,1,123,Online
51,2485,53,2024-09-13,3,3090,Retail
52,2469,84,2025-05-13,2,3752,Online
53,1928,103,2024-06-09,1,818,Marketplace
54,2520,133,2024-01-28,1,669,Marketplace
55,3435,91,2025-03-25,3,4800,Retail
56,4487,78,2024-03-19,2,2822,Online
57,712,168,2024-06-21,1,43,Retail
58,2071,153,2024-11-05,2,206,Retail
59,1341,133,2024-07-01,2,1338,Marketplace
60,1410,197,2024-01-09,3,264,Marketplace
61,2265,163,2025-02-14,3,225,Marketplace
62,721,11,2025-01-27,3,1926,Online
63,4040,173,2025-01-31,1,137,Online
64,4510,90,2024-02-11,3,4458,Retail
65,3798,168,2024-05-07,1,43,Online
66,3515,173,2024-04-29,3,411,Marketplace
67,2764,174,2024-12-12,1,31,Retail
68,4100,77,2025-03-23,2,2326,Retail
69,531,173,2024-09-27,1,137,Retail
70,4807,142,2025-02-14,2,1676,Marketplace
71,191,100,2024-07-26,3,5235,Marketplace
72,150,126,2024-06-26,2,2246,Online
73,359,134,2024-04-03,1,1766,Online
74,3040,14,2024-06-08,1,427,Online
75,2286,149,2024-02-12,3,4683,Retail
76,2025,190,2025-03-17,1,102,Online
77,3289,144,2024-01-27,1,1038,Marketplace
78,4325,144,2024-08-05,3,3114,Online
79,4069,186,2024-03-13,1,148,Online
80,4139,135,2024-07-16,3,4770,Online
81,1660,124,2024-03-24,1,1663,Online
82,1652,101,2024-02-23,3,5982,Retail
83,4512,23,2025-02-27,2,2226,Retail
84,4952,168,2025-04-12,3,129,Online
85,733,67,2025-02-17,1,1240,Marketplace
86,109,16,2024-04-17,1,802,Marketplace
87,957,181,2024-05-03,2,262,Online
88,4067,34,2025-01-17,3,3453,Online
89,3823,87,2025-01-25,3,5154,Retail
90,3400,31,2024-01-24,3,2463,Retail
91,3179,28,2025-03-28,1,1008,Online
92,418,65,2025-01-04,2,3626,Retail
93,808,69,2024-10-24,2,4234,Retail
94,3823,88,2025-02-24,2,1828,Retail
95,2988,162,2025-04-16,2,208,Online
96,987,17,2024-02-09,3,1710,Online
97,2792,179,2024-04-24,2,50,Marketplace
98,1357,192,2024-12-27,3,306,Online
99,3872,39,2025-04-17,1,1125,Online
100,4330,90,2024-12-12,3,4458,Marketplace
101,29,199,2024-08-29,3,129,Online
102,4905,58,2025-01-24,2,1760,Online
103,1858,85,2024-08-27,3,4743,Online
104,867,119,2024-08-06,2,3206,Online
105,4195,124,2024-02-26,3,4989,Retail
106,1267,76,2024-03-07,2,3952,Online
107,4881,54,2025-03-26,3,3585,Retail
108,3148,2,2024-05-08,3,2724,Marketplace
109,989,56,2024-10-01,2,3832,Online
110,2776,6,2025-03-04,2,2252,Online
111,3666,55,2025-03-25,1,1658,Marketplace
112,869,139,2025-04-05,3,4491,Online
113,2350,84,2024-10-07,1,1876,Online
114,4498,27,2024-07-06,3,2925,Marketplace
115,4101,95,2024-01-17,2,3504,Online
116,2105,192,2024-12-08,1,102,Marketplace
117,1106,147,2024-04-19,1,1556,Marketplace
118,1330,155,2025-05-11,1,134,Online
119,4793,134,2024-01-20,2,3532,Marketplace
120,3133,90,2024-10-09,3,4458,Marketplace
121,2127,193,2024-07-22,2,168,Retail
122,164,126,2024-07-18,2,2246,Marketplace
123,2921,153,2024-02-03,3,309,Marketplace
124,970,37,2024-05-05,3,2292,Retail
125,1164,102,2024-02-15,2,1502,Marketplace
126,946,27,2025-03-05,1,975,Marketplace
127,1190,174,2024-07-17,2,62,Online
128,3935,178,2025-04-20,1,119,Online
129,1619,98,2024-07-05,1,1953,Online
130,4282,193,2025-01-27,3,252,Marketplace
131,2311,35,2025-03-10,1,850,Online
132,922,21,2024-11-13,3,2292,Retail
133,4735,182,2024-03-11,1,82,Marketplace
134,2399,131,2024-09-14,3,5451,Online
135,194,44,2024-01-06,1,513,Marketplace
136,3483,111,2024-11-03,1,1566,Online
137,2592,87,2025-03-15,1,1718,Online
138,1208,122,2024-02-21,1,1024,Marketplace
139,3089,102,2024-08-31,1,751,Retail
140,4507,167,2024-07-17,2,96,Retail
141,3312,52,2024-12-31,2,1634,Online
142,2704,68,2024-04-29,1,2399,Marketplace
143,744,46,2024-02-17,3,2415,Online
144,140,4,2025-02-23,2,1302,Online
145,4086,187,2024-08-03,2,198,Marketplace
146,4019,78,2024-09-15,1,1411,Retail
147,1002,192,2024-06-12,2,204,Marketplace
148,4521,85,2024-06-21,1,1581,Marketplace
149,911,80,2024-03-11,3,6663,Retail
150,3679,83,2025-04-09,1,872,Marketplace
151,807,126,2024-03-09,2,2246,Online
152,3049,146,2025-01-26,3,5238,Retail
153,4151,141,2024-02-20,2,2904,Marketplace
154,2127,41,2024-03-20,2,1384,Marketplace
155,374,63,2025-01-25,3,4047,Retail
